"","year","age_group_5_years","race_eth","first_degree_hx","age_menarche","age_first_birth","BIRADS_breast_density","current_hrt","menopaus","bmi_group","biophx","breast_cancer_history","count"
"213849",2001,10,3,0,9,0,2,0,2,9,0,0,8
"245639",2002,4,1,0,9,9,9,1,2,9,0,0,215
"481515",2004,3,1,0,9,9,4,0,1,9,0,0,186
"355817",2002,13,4,9,1,4,3,0,2,2,0,0,1
"418995",2003,7,1,0,2,4,2,0,2,2,0,9,5
"446968",2003,9,1,1,9,9,2,0,2,9,1,0,146
"1088259",2009,7,1,0,2,1,2,0,2,3,1,0,23
"233042",2001,13,9,0,9,9,3,0,2,9,0,9,16
"381379",2003,5,1,0,9,0,3,1,2,2,1,0,3
"994759",2008,8,1,0,2,2,3,0,2,9,0,0,35
"553326",2004,8,1,0,1,1,2,0,2,4,0,0,50
"623560",2005,5,1,0,2,2,3,0,1,2,0,0,67
"264244",2002,5,2,0,1,4,4,1,2,2,0,0,1
"980963",2008,7,1,0,1,3,3,0,2,1,1,0,67
"321920",2002,9,1,0,2,1,2,9,2,4,0,0,5
"735272",2006,4,6,0,9,4,9,0,1,1,1,0,5
"663218",2005,7,1,1,0,9,4,0,2,9,0,0,2
"420274",2003,7,1,0,9,9,2,0,2,9,1,0,1056
"420353",2003,7,1,0,9,9,3,0,2,4,0,9,6
"1094666",2009,7,3,0,9,3,3,0,2,1,0,0,127
"323371",2002,9,1,0,9,9,2,1,2,9,0,0,999
"14221.1",2000,4,1,9,9,9,3,0,1,9,0,9,2937
"159852",2001,6,1,0,9,9,9,9,9,1,9,9,152
"241903",2002,4,1,0,0,4,4,0,1,1,0,0,57
"403172",2003,6,1,1,1,2,2,1,2,1,0,0,6
"953538",2008,5,1,1,9,9,3,9,9,9,1,0,45
"812727",2006,11,1,1,1,0,2,9,2,1,0,0,1
"736993",2006,5,1,0,0,9,1,0,9,2,1,0,2
"108927",2000,12,1,1,9,9,9,0,2,9,1,1,29
"57347",2000,7,1,0,1,0,3,0,2,4,0,0,9
"1093143",2009,7,2,0,2,0,2,0,2,4,0,0,6
"803881",2006,10,1,0,2,1,3,0,2,9,0,0,48
"515556",2004,5,9,9,9,9,9,9,9,9,1,1,115
"993376",2008,8,1,0,1,1,3,0,2,9,1,0,70
"615620",2005,4,3,0,9,4,9,0,1,1,0,0,385
"759574",2006,6,1,1,2,0,2,0,3,4,0,0,2
"1030144",2008,12,1,1,0,2,3,1,2,9,0,0,1
"942122",2008,4,3,0,0,2,3,0,1,1,0,0,92
"541728",2004,7,1,0,9,4,2,9,2,2,0,9,6
"673991",2005,8,1,0,1,3,3,0,2,4,1,1,3
"887382",2007,8,1,0,0,3,3,0,2,3,1,0,3
"1073087",2009,6,1,0,9,4,3,9,9,9,1,1,8
"41414",2000,6,1,0,2,4,3,1,2,1,0,0,64
"836941",2007,4,3,0,9,4,9,0,1,1,0,0,297
"748494",2006,5,5,0,9,9,2,9,9,2,1,9,1
"667976",2005,7,3,1,9,9,9,0,2,1,0,9,1
"1132417",2009,11,1,0,9,9,2,0,2,9,9,9,334
"684855",2005,9,1,0,0,1,9,0,2,2,0,0,16
"711632",2005,12,1,0,0,4,2,0,2,9,1,0,1
"800836",2006,9,5,0,9,9,3,9,2,9,0,0,6
"622898",2005,5,1,0,1,9,9,0,1,9,0,0,230
"611560",2005,4,1,0,9,9,2,0,9,9,0,0,598
"29103",2000,5,2,0,0,2,4,0,1,1,0,0,1
"877930",2007,7,1,0,9,9,1,0,2,9,0,0,347
"182665",2001,7,5,0,0,0,3,1,2,2,0,9,3
"172837",2001,6,9,0,9,9,9,9,9,9,9,9,1139
"503315",2004,5,1,0,9,9,2,0,9,2,0,0,71
"252507",2002,4,5,1,9,1,2,0,1,1,0,0,1
"360426",2003,3,1,0,9,9,2,0,1,9,0,0,851
"786402",2006,8,1,1,1,0,2,0,2,3,0,0,18
"982801",2008,7,1,0,9,2,2,9,2,9,0,0,94
